iter	Passed	Remaining
554	823	660
555	825	658
556	826	657
557	828	655
558	829	654
559	830	652
560	832	651
561	834	650
562	835	648
563	837	647
564	838	645
565	839	643
566	841	642
567	842	641
568	844	639
569	846	638
570	847	636
571	849	635
572	850	633
573	852	632
574	853	630
575	854	629
576	855	627
577	857	626
578	859	624
579	861	623
580	862	622
581	864	620
582	865	619
583	867	617
584	868	616
585	870	614
586	871	613
587	873	612
588	875	610
589	876	609
590	878	607
591	880	606
592	882	605
593	883	603
594	884	602
595	886	600
596	887	599
597	889	598
598	891	596
599	892	595
600	894	593
601	895	592
602	897	590
603	898	589
604	900	587
605	901	586
606	903	584
607	904	583
608	905	581
609	907	580
610	908	578
611	910	577
612	911	575
613	913	574
614	915	572
615	917	571
616	919	570
617	920	569
618	922	567
619	924	566
620	926	565
621	927	563
622	928	562
623	930	560
624	932	559
625	934	558
626	935	556
627	936	555
628	938	553
629	939	551
630	940	550
631	942	548
632	943	547
633	944	545
634	946	544
635	948	542
636	949	541
637	951	539
638	952	538
639	954	536
640	955	535
641	957	533
642	958	532
643	960	531
644	963	530
645	965	528
646	966	527
647	968	525
648	969	524
649	970	522
650	972	521
651	973	519
652	975	518
653	977	517
654	978	515
655	980	514
656	981	512
657	982	510
658	984	509
659	985	507
660	986	506
661	988	504
662	990	503
663	992	502
664	994	500
665	995	499
666	997	497
667	998	496
668	999	494
669	1001	493
670	1002	491
671	1004	490
672	1006	489
673	1008	487
674	1010	486
675	1011	484
676	1013	483
677	1015	482
678	1017	480
679	1018	479
680	1020	478
681	1022	476
682	1023	475
683	1025	473
684	1026	472
685	1028	470
686	1030	469
687	1032	468
688	1033	466
689	1035	465
690	1037	463
691	1038	462
692	1040	460
693	1041	459
694	1043	457
695	1044	456
696	1046	454
697	1047	453
698	1049	451
699	1051	450
700	1052	448
701	1053	447
702	1055	445
703	1056	444
704	1058	442
705	1059	441
706	1060	439
707	1062	438
708	1064	436
709	1066	435
710	1068	434
711	1069	432
712	1071	431
713	1072	429
714	1074	428
715	1075	426
716	1077	425
717	1078	423
718	1080	422
719	1082	420
720	1083	419
721	1084	417
722	1086	416
723	1087	414
724	1088	413
725	1090	411
726	1091	409
727	1093	408
728	1095	407
729	1096	405
730	1098	404
731	1099	402
732	1100	401
733	1102	399
734	1103	397
735	1105	396
736	1106	394
737	1108	393
738	1110	392
739	1111	390
740	1113	389
741	1115	387
742	1117	386
743	1118	384
744	1120	383
745	1121	381
746	1123	380
747	1125	379
748	1126	377
749	1127	375
750	1129	374
751	1130	372
752	1132	371
753	1133	369
754	1134	368
755	1136	366
756	1137	365
757	1139	363
758	1141	362
759	1142	360
760	1144	359
761	1147	358
762	1149	357
763	1150	355
764	1152	354
765	1154	352
766	1155	351
767	1157	349
768	1159	348
769	1160	346
770	1162	345
771	1163	343
772	1164	342
773	1166	340
774	1168	339
775	1169	337
776	1171	336
777	1172	334
778	1174	333
779	1175	331
780	1176	329
781	1178	328
782	1179	326
783	1180	325
784	1182	323
785	1184	322
786	1185	320
787	1186	319
788	1188	317
789	1189	316
790	1191	314
791	1192	313
792	1193	311
793	1195	310
794	1196	308
795	1198	307
796	1200	305
797	1201	304
798	1202	302
799	1204	301
800	1205	299
801	1207	297
802	1208	296
803	1209	294
804	1210	293
805	1213	291
806	1214	290
807	1215	288
808	1217	287
809	1218	285
810	1220	284
811	1221	282
812	1222	281
813	1224	279
814	1225	278
815	1227	276
816	1229	275
817	1230	273
818	1231	272
819	1233	270
820	1234	269
821	1235	267
822	1237	266
823	1238	264
824	1239	262
825	1241	261
826	1243	260
827	1244	258
828	1246	257
829	1247	255
830	1248	254
831	1250	252
832	1251	250
833	1253	249
834	1254	247
835	1255	246
836	1257	244
837	1259	243
838	1260	241
839	1262	240
840	1263	238
841	1265	237
842	1266	235
843	1267	234
844	1269	232
845	1270	231
846	1272	229
847	1274	228
848	1275	226
849	1277	225
850	1278	223
851	1279	222
852	1281	220
853	1282	219
854	1284	217
855	1285	216
856	1287	214
857	1289	213
858	1290	211
859	1291	210
860	1293	208
861	1294	207
862	1295	205
863	1297	204
864	1298	202
865	1299	201
866	1301	199
867	1303	198
868	1304	196
869	1305	195
870	1307	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1315	184
877	1317	183
878	1319	181
879	1320	180
880	1322	178
881	1323	177
882	1324	175
883	1326	174
884	1327	172
885	1329	171
886	1330	169
887	1332	168
888	1334	166
889	1335	165
890	1336	163
891	1338	162
892	1339	160
893	1341	159
894	1342	157
895	1343	155
896	1345	154
897	1347	153
898	1348	151
899	1350	150
900	1351	148
901	1353	147
902	1354	145
903	1355	143
904	1357	142
905	1358	140
906	1360	139
907	1362	138
908	1363	136
909	1364	134
910	1366	133
911	1367	131
912	1369	130
913	1370	128
914	1371	127
915	1373	125
916	1375	124
917	1377	123
918	1378	121
919	1380	120
920	1382	118
921	1383	117
922	1385	115
923	1386	114
924	1388	112
925	1389	111
926	1391	109
927	1393	108
928	1394	106
929	1396	105
930	1397	103
931	1399	102
932	1400	100
933	1401	99
934	1403	97
935	1405	96
936	1407	94
937	1408	93
938	1410	91
939	1411	90
940	1413	88
941	1414	87
942	1415	85
943	1417	84
944	1418	82
945	1420	81
946	1422	79
947	1424	78
948	1425	76
949	1427	75
950	1429	73
951	1430	72
952	1431	70
953	1433	69
954	1434	67
955	1436	66
956	1438	64
957	1439	63
958	1440	61
959	1442	60
960	1443	58
961	1445	57
962	1446	55
963	1447	54
964	1449	52
965	1451	51
966	1453	49
967	1454	48
968	1455	46
969	1457	45
970	1458	43
971	1460	42
972	1461	40
973	1462	39
974	1464	37
975	1466	36
976	1468	34
977	1469	33
978	1470	31
979	1472	30
980	1473	28
981	1475	27
982	1476	25
983	1477	24
984	1479	22
985	1481	21
986	1483	19
987	1485	18
988	1486	16
989	1488	15
990	1489	13
991	1491	12
992	1492	10
993	1494	9
994	1496	7
995	1497	6
996	1499	4
997	1500	3
998	1502	1
999	1503	0
